"발생일시","관할해경서","발생해역","발생유형","발생원인","기상특보","사고선박수","구조인원","부상인원","사망인원","실종인원","사고위치","위도","경도","선종1","톤수1","선종2","톤수2","선종3","톤수3"
"2013-12-31 13:30","평택","항계내","추진기장애","운항부주의","양호","1","4","0","0","0","경기 화성시 우정읍 입파도 인근해상","37|07|00","126|28|00","어선","7.93",,,,
"2013-12-31 05:50","완도","영해","화재","기타","양호","1","0","0","0","0","완도군 완도읍 완도항(2부두)","34|19|31","126|45|00","어선","46",,,,
"2013-12-30 23:00","제주","영해","기관고장","정비불량","황천4급","1","10","0","0","0","한림북서방 20해리(33-43N 126-05E)","33|43|00","126|05|00","어선","23",,,,
"2013-12-30 19:40","울산","영해","좌주","운항부주의","양호","1","6","0","0","0","무림PNP 앞 해상","35|24|73","129|21|85","유조선","498",,,,
"2013-12-30 05:45","군산","영해","좌초","운항부주의","양호","1","7","0","0","0","충남 서천군 홍원항 남서방 1해리 해상","36|09|00","126|28|00","어선","29",,,,
"2013-12-29 12:22","통영","영해","기타","기타","황천5급","1","0","0","2","0","통영시 욕지도 서방 유동해변 인근 해상","34|37|07","128|13|92","어선","2.97",,,,
"2013-12-29 06:25","완도","영해","충돌","운항부주의","양호","2","19","2","0","0","장흥군 노력도 여객선터미널 남방 500m","34|26|18","126|57|58","어선","1.01","낚시어선","9.77",,
"2013-12-29 05:30","군산","영해-EEZ","충돌","운항부주의","양호","2","24","0","0","0","전북 군산시 어청도 남서방 20해리","35|32|00","125|41|00","화물선","6290","어선","7.93",,
"2013-12-29 02:15","부산","영해-EEZ","충돌","운항부주의","양호","2","90","0","0","0","부산 태종대 남동방 9.2마일 해상","34|59|50","129|15|5","유조선","29337","화물선","55000",,
"2013-12-28 20:30","제주","영해","타기고장","정비불량","황천4급","1","7","0","0","0","추자 남동 11해리(33-47N 126-28E)","33|47|00","126|28|00","어선","20",,,,
"2013-12-28 11:50","서귀포","항계내","좌초","운항부주의","황천5급","1","180","0","0","0","마라도 살레덕 선착장(33-07.30N 126-16.19E)","33|07|30","126|16|19","유도선","139",,,,
"2013-12-28 06:15","통영","영해","충돌","운항부주의","양호","2","15","0","0","0","추도 남동방 0.5마일 해상","34|44|60","128|19|00","어선","485","유조선","149",,
"2013-12-27 19:20","태안","영해","기관고장","기타","풍랑주의보","1","10","0","0","0","충남 보령시 오천면 외연도 북서방 13해리","36|25|09","125|55|20","유조선","494",,,,
"2013-12-26 08:00","태안","영해","좌주","운항부주의","양호","1","4","0","0","0","충남 보령시 오천면 석대도 남방 0.5해리 해상","36|13|94","126|31|14","예부선","112",,,,
"2013-12-26 07:30","제주","영해","기관고장","정비불량","황천5급","1","7","0","0","0","우도 동방 12해리(33-30N 127-13E)","33|30|00","127|13|00","어선","9.77",,,,
"2013-12-24 23:44","군산","영해","좌초","운항부주의","양호","1","12","0","0","0","군산 방축도 남방 0.1마일","35|52|00","126|24|00","어선","96",,,,
"2013-12-23 14:20","통영","영해","화재","화기취급부주의","양호","1","1","1","0","0","통영시 욕지면 두미도 북서방 2.4해리 해상","34|43|50","128|07|40","어선","4.99",,,,
"2013-12-22 21:07","창원","항계내","화재","화기취급부주의","양호","1","17","0","0","0","마산항 4부두 5번선석","35|12|07","128|35|34","화물선","11473",,,,
"2013-12-22 19:20","창원","항계내","충돌","운항부주의","양호","2","6","0","0","0","마산항 2부두 동방 약 0.1마일 해상","35|11|43","128|34|35","예부선","214","기타","16",,
"2013-12-22 05:48","여수","항계내","충돌","운항부주의","양호","2","36","0","0","0","여수시 낙포각 LPG 부두 북동방 약 400미터","34|52|09","127|46|09","화물선","8299","유조선","3752",,
"2013-12-21 08:30","통영","영해","좌초","운항부주의","황천5급","1","1","0","0","0","통영시 한산면 서좌도 남서방 0.1마일 해상","34|47|20","128|30|07","어선","4",,,,
"2013-12-20 10:30","인천","항계내","화재","화기취급부주의","양호","1","0","0","0","0","인천광역시 중구 항동 연안부두 남항 미래해운 부두(정박중)","37|26|58","126|36|30","예부선","29",,,,
"2013-12-20 07:28","제주","영해-EEZ","기관고장","연료고갈","풍랑주의보","1","16","0","0","0","제주 차귀도 남서 75해리","32|38|00","124|57|00","화물선","7433",,,,
"2013-12-19 16:45","제주","영해","기관고장","정비불량","풍랑주의보","1","46","0","0","0","제주 추자도 북동방 1.7해리(33-59N, 126-19E)","33|59|00","126|19|00","어선","4915",,,,
"2013-12-17 16:50","창원","영해","좌초","기상악화","태풍주의보","1","6","0","0","0","부산 강서구 가덕도 동두말-아동섬 인근","34|59|38","128|50|06","낚시어선","3.64",,,,
"2013-12-17 06:43","창원","영해","충돌","운항부주의","양호","2","14","0","0","0","거제시 칠천도 남서방 1.5해리","34|57|00","128|34|00","어선","90","예부선","121",,
"2013-12-16 16:31","속초","영해-EEZ","타기고장","기타","풍랑주의보","1","11","0","0","0","속초 동방 55마일","38|09|00","129|45|00","어선","66",,,,
"2013-12-16 07:33","부산","영해","추진기장애","운항부주의","양호","1","7","0","0","0","부산 홍도 동방 1.8마일 해상","34|33|00","128|45|00","어선","29",,,,
"2013-12-14 10:55","서귀포","영해-EEZ","추진기장애","운항부주의","양호","1","11","0","0","0","서귀 남서 67해리(32-25.60N 125-38.90E)","32|25|60","125|38|90","어선","89",,,,
"2013-12-13 04:38","서귀포","항계내","좌초","운항부주의","양호","1","9","0","0","0","성산항 북쪽 방파제(33-28.91N 126-55.64E)","33|28|91","126|55|64","어선","94.41",,,,
"2013-12-12 06:12","울산","영해","충돌","운항부주의","황천5급","2","5","0","0","0","칠암 동방 3.2해리","35|16|50","129|19|70","어선","3.23","유조선","149",,
"2013-12-10 07:00","포항","영해","좌초","운항부주의","양호","1","4","0","0","0","죽변등대 북쪽 200미터 해상","37|03|48","129|25|36","어선","21",,,,
"2013-12-10 03:10","포항","영해","타기고장","정비불량","풍랑주의보","1","7","0","0","0","강구 동방 70해리","36|23|00","130|50|00","어선","87",,,,
"2013-12-09 16:35","제주","영해","좌초","정비불량","풍랑경보","1","4","1","1","0","제주 북동 5마일(조천읍 연안 1.3해리 해상)","33|32|00","126|37|00","어선","9.77",,,,
