발생일시,월별,시간대별,관할해경서,발생해역,위도,경도,기상상태,발생원인,발생유형,사고선박수,발생인원,구조,부상,사망,실종,선 종,톤수,,,,,,,,,,,,,,,,,,,,
2021-12-30 11:40,12,11,속초,영해,37 | 53 | 2,128 | 50 | 51,풍랑주의보,운항부주의,부유물감김,1,3,3,0,0,0,어선,3.35,,,,,,,,,,,,,,,,,,,,
2021-12-30 08:40,12,08,속초,영해,37 | 52 | 23,128 | 57 | 24,풍랑주의보,정비불량,기관손상,1,4,4,0,0,0,어선,4.99,,,,,,,,,,,,,,,,,,,,
2021-12-30 08:14,12,08,창원,항계 내,35 | 11 | 35,128 | 35 | 26,양호,운항부주의,충돌,1,2,2,0,0,0,예부선,80,,,,,,,,,,,,,,,,,,,,
2021-12-30 08:14,12,08,창원,항계 내,35 | 11 | 35,128 | 35 | 26,양호,운항부주의,충돌,1,1,1,0,0,0,예부선,6117,,,,,,,,,,,,,,,,,,,,
2021-12-29 16:13,12,16,목포,항계 내,34 | 32 | 3,125 | 57 | 59,양호,정비불량,기관손상,1,11,11,0,0,0,예부선,144,,,,,,,,,,,,,,,,,,,,
2021-12-29 12:41,12,12,통영,협수로,34 | 45 | 50,128 | 28 | 14,양호,운항부주의,부유물감김,1,5,5,0,0,0,낚시어선,4.99,,,,,,,,,,,,,,,,,,,,
2021-12-29 06:30,12,06,서귀포,영해-EEZ,32 | 12 | 19,125 | 59 | 37,양호,운항부주의,부유물감김,1,12,12,0,0,0,어선,29,,,,,,,,,,,,,,,,,,,,
2021-12-29 06:00,12,06,여수,영해,34 | 42 | 6,127 | 54 | 14,양호,정비불량,기관손상,1,11,11,0,0,0,화물선,4418,,,,,,,,,,,,,,,,,,,,
2021-12-29 03:00,12,03,동해,영해-EEZ,38 | 25 | 0,133 | 24 | 0,황천5급,관리소홀,추진기손상,1,8,8,0,0,0,어선,42,,,,,,,,,,,,,,,,,,,,
2021-12-28 14:00,12,14,군산,영해-EEZ,35 | 9 | 28,125 | 3 | 4,양호,운항부주의,부유물감김,1,7,7,0,0,0,어선,29,,,,,,,,,,,,,,,,,,,,
2021-12-28 12:51,12,12,여수,영해,34 | 31 | 15,127 | 9 | 6,양호,관리소홀,침수,1,0,0,0,0,0,어선,1.07,,,,,,,,,,,,,,,,,,,,
2021-12-28 12:30,12,12,목포,항계 내,35 | 5 | 10,126 | 2 | 2,양호,운항부주의,침수,1,0,0,0,0,0,예부선,3500,,,,,,,,,,,,,,,,,,,,
2021-12-28 10:33,12,10,포항,영해,36 | 4 | 28,129 | 36 | 1,황천6급,운항부주의,부유물감김,1,2,2,0,0,0,예부선,48,,,,,,,,,,,,,,,,,,,,
2021-12-28 07:49,12,07,부안,영해,35 | 40 | 27,126 | 28 | 0,양호,운항부주의,부유물감김,1,10,10,0,0,0,낚시어선,9.77,,,,,,,,,,,,,,,,,,,,
2021-12-28 07:30,12,07,목포,영해,34 | 14 | 23,125 | 45 | 30,양호,운항부주의,부유물감김,1,9,9,0,0,0,어선,15,,,,,,,,,,,,,,,,,,,,
2021-12-28 00:42,12,00,보령,항계 내,36 | 19 | 39,126 | 30 | 51,양호,관리소홀,기타,1,0,0,0,0,0,어선,29,,,,,,,,,,,,,,,,,,,,
2021-12-27 21:39,12,21,속초,영해,38 | 1 | 33,128 | 49 | 38,양호,정비불량,기관손상,1,3,3,0,0,0,유조선,143,,,,,,,,,,,,,,,,,,,,
2021-12-27 07:34,12,07,여수,영해,34 | 37 | 21,127 | 9 | 12,양호,배터리 방전,운항저해,1,1,1,0,0,0,어선,3.57,,,,,,,,,,,,,,,,,,,,
2021-12-27 04:51,12,04,목포,항계 내,34 | 51 | 11,126 | 12 | 50,양호,운항부주의,부유물감김,1,1,1,0,0,0,예부선,43,,,,,,,,,,,,,,,,,,,,
2021-12-26 07:42,12,07,통영,항계 내,34 | 55 | 27,128 | 4 | 54,양호,정비불량,침수,1,2,2,0,0,0,어선,2.99,,,,,,,,,,,,,,,,,,,,
2021-12-25 14:47,12,14,창원,영해,35 | 4 | 24,128 | 34 | 19,양호,정비불량,기관손상,1,1,1,0,0,0,고무보트,0.1,,,,,,,,,,,,,,,,,,,,
2021-12-25 11:15,12,11,속초,항계 내,38 | 4 | 49,128 | 40 | 27,풍랑주의보,기상악화,침수,1,0,0,0,0,0,어선,1.26,,,,,,,,,,,,,,,,,,,,
2021-12-25 09:55,12,09,속초,항계 내,38 | 15 | 5,128 | 34 | 3,풍랑주의보,기상악화,침수,1,0,0,0,0,0,어선,1.66,,,,,,,,,,,,,,,,,,,,
2021-12-25 09:55,12,09,속초,항계 내,38 | 15 | 5,128 | 34 | 3,풍랑주의보,기상악화,침수,1,0,0,0,0,0,어선,1.55,,,,,,,,,,,,,,,,,,,,
2021-12-25 08:47,12,08,속초,항계 내,38 | 16 | 14,128 | 33 | 20,풍랑주의보,기상악화,침수,1,0,0,0,0,0,어선,1.97,,,,,,,,,,,,,,,,,,,,
2021-12-25 08:47,12,08,속초,항계 내,38 | 16 | 14,128 | 33 | 20,풍랑주의보,기상악화,침수,1,0,0,0,0,0,어선,2.84,,,,,,,,,,,,,,,,,,,,
2021-12-25 08:40,12,08,속초,항계 내,37 | 56 | 38,128 | 47 | 9,풍랑주의보,기상악화,침수,1,0,0,0,0,0,어선,2.34,,,,,,,,,,,,,,,,,,,,
2021-12-25 08:18,12,08,속초,항계 내,38 | 12 | 13,128 | 36 | 9,풍랑주의보,기상악화,침몰,1,0,0,0,0,0,어선,4.96,,,,,,,,,,,,,,,,,,,,
2021-12-25 08:00,12,08,속초,항계 내,38 | 4 | 42,128 | 40 | 24,풍랑주의보,원인미상,침수,1,0,0,0,0,0,어선,0.82,,,,,,,,,,,,,,,,,,,,
2021-12-25 08:00,12,08,속초,항계 내,38 | 4 | 42,128 | 40 | 24,풍랑주의보,원인미상,침수,1,0,0,0,0,0,어선,2.16,,,,,,,,,,,,,,,,,,,,
2021-12-25 05:46,12,05,속초,항계 내,37 | 51 | 59,128 | 50 | 54,풍랑주의보,기상악화,침수,1,0,0,0,0,0,어선,2.47,,,,,,,,,,,,,,,,,,,,
2021-12-25 03:52,12,03,속초,항계 내,37 | 53 | 39,128 | 49 | 57,풍랑주의보,기상악화,침수,1,0,0,0,0,0,어선,1.3,,,,,,,,,,,,,,,,,,,,
2021-12-24 22:09,12,22,완도,항계 내,34 | 16 | 28,126 | 40 | 17,양호,운항부주의,방향상실,1,1,1,0,0,0,어선,1.28,,,,,,,,,,,,,,,,,,,,
2021-12-24 11:23,12,11,부산,항계 내,35 | 3 | 9,129 | 0 | 41,양호,원인미상,접촉,1,2,2,0,0,0,예부선,496,,,,,,,,,,,,,,,,,,,,
2021-12-24 11:23,12,11,부산,항계 내,35 | 3 | 9,129 | 0 | 41,양호,원인미상,접촉,1,2,2,0,0,0,예부선,55,,,,,,,,,,,,,,,,,,,,
2021-12-24 09:59,12,09,완도,항계 내,34 | 19 | 0,126 | 45 | 12,양호,화기취급부주의,화재,1,9,9,0,0,0,어선,55,,,,,,,,,,,,,,,,,,,,
2021-12-24 09:32,12,09,목포,항계 내,34 | 46 | 49,126 | 22 | 40,양호,운항부주의,좌초/좌주,1,9,9,0,0,0,어선,24,,,,,,,,,,,,,,,,,,,,
