"발생일시","관할해경서","발생해역","발생유형","발생원인","기상특보","사고선박수","구조인원","부상인원","사망인원","실종인원","사고위치","위도","경도","선종1","톤수1","선종2","톤수2","선종3","톤수3"
"2016-12-31 18:28","동해","영해","침몰","운항부주의","양호","1","1","1","0","0","동해 전천항 옆 동해 화력발전소 배출구 부근","37|29|00","129|09|00","어선","2.64",,,,
"2016-12-31 17:24","창원","항계내","운항저해","연료고갈","양호","1","2","0","0","0","경남 창원시 진해구 소재 연도 남서방 2마일 해상","35|03|11","128|44|09","어선","1.24",,,,
"2016-12-31 17:19","목포","항계내","전복","운항부주의","양호","1","0","0","0","0","영광군 안마도 동방 8해리","35|22|0","126|12|0","어선","13",,,,
"2016-12-31 16:09","제주","영해","좌초","운항부주의","양호","1","3","0","0","0","비양도 북방 0.5해리","33|25|08","126|13|50","모터보트","14",,,,
"2016-12-31 14:27","부산","영해","안전저해","운항부주의","양호","1","2","0","0","0","서도 남동방 1.7해리 해상","35|00|20","128|57|46","유조선","141",,,,
"2016-12-31 09:48","군산","영해-EEZ","안전저해","운항부주의","양호","1","5","0","0","0","군산시 옥도면 어청도 남서 62해리","35|13|50","125|18|50","어선","21",,,,
"2016-12-30 18:49","군산","영해","안전저해","운항부주의","양호","1","4","0","0","0","군산시 어청도 동방 23해리(연도 동방 1.5해리)","36|04|02","126|28|15","어선","12",,,,
"2016-12-30 15:51","제주","영해","기관손상","정비불량","양호","1","7","0","0","0","비양도 북서방 25해리","33|47|00","126|00|00","어선","24",,,,
"2016-12-30 06:45","부산","영해","침수","운항부주의","양호","1","2","0","0","0","부산 북형제도 남단 해상","34|55|53","128|58|30","어선","6.67",,,,
"2016-12-30 06:40","포항","영해-EEZ","충돌","운항부주의","황천5급","2","17","1","0","0","경북 울진 사동 동방 20해리","36|51|00","129|51|00","어선","24","화물선","3965",,
"2016-12-29 08:51","제주","영해","침몰","기상악화","황천5급","1","0","0","2","0","비양도 서방 1.3해리","33|24|39","126|11|52","예부선","29",,,,
"2016-12-29 08:00","서귀포","영해-EEZ","안전저해","운항부주의","황천5급","1","12","0","0","0","서귀포 남서방 40해리(32-39N 126-08E)","32|29|00","126|08|00","어선","29",,,,
"2016-12-29 07:58","서귀포","영해","기관손상","정비불량","풍랑주의보","1","3","0","0","0","서귀포 대정읍 신도포구 남서방 0.5해리","33|15|56","126|09|43","화물선","61",,,,
"2016-12-29 03:42","동해","항계내","화재","화기취급부주의","양호","1","0","0","0","0","묵호센터 옆 활복장 앞 계류장","37|33|00","129|06|00","어선","15",,,,
"2016-12-29 00:00","동해","영해","기관손상","정비불량","양호","1","10","0","0","0","울릉 남동 12해리","37|19|00","131|04|00","어선","29",,,,
"2016-12-28 21:47","서귀포","영해","충돌","운항부주의","양호","2","24","0","0","0","우도 동방 9해리(33-29N 127-09E)","33|29|00","127|09|00","낚시어선","9.77","어선","72",,
"2016-12-28 20:38","통영","항계내","기관손상","정비불량","양호","1","3","0","0","0","도남동 통영마리나항 내(방파제 끝단 내측)","34|49|46","128|26|13","요트","2.6",,,,
"2016-12-28 20:00","동해","영해-EEZ","기관손상","정비불량","양호","1","10","0","0","0","독도 북동 174해리","39|19|00","134|28|00","어선","69",,,,
"2016-12-28 18:40","포항","영해","기관손상","정비불량","황천5급","1","4","0","0","0","호미곶 북동 7해리","36|10|00","129|39|00","어선","7.93",,,,
"2016-12-28 12:56","포항","항계내","화재","화기취급부주의","풍랑주의보","1","0","0","0","0","구룡포 항내","35|59|15","129|33|10","어선","40",,,,
"2016-12-28 12:44","포항","항계내","충돌","운항부주의","풍랑주의보","2","17","0","0","0","포항 영일만 투묘","36|03|20","129|24|20","어선","29","화물선","1970",,
"2016-12-28 10:40","완도","항계내","해양오염","관리소홀","양호","1","0","0","0","0","완도군 완도읍 보구에너지 바지 인근 해상","34|19|6","126|49|5","어선","7.93",,,,
"2016-12-27 11:28","군산","항계내","좌초","운항부주의","양호","1","3","0","0","0","군산 장항수로 입구","35|59|07","126|39|10","예부선","80",,,,
"2016-12-26 17:00","서귀포","영해-EEZ","기관손상","정비불량","풍랑주의보","1","13","0","0","0","서귀포 남방 44해리","32|30|00","126|25|00","어선","28",,,,
"2016-12-26 16:56","울산","영해-EEZ","안전저해","운항부주의","양호","1","6","0","0","0","94-4해구, 대변 동방 43해리","35|10|00","130|06|00","어선","39",,,,
"2016-12-26 15:00","서귀포","영해","좌초","정비불량","황천5급","1","2","0","0","0","서귀포시 남원포구 인근 “신명진 수산” 앞 150m갯바위","33|16|38","126|43|18","모터보트","1.09",,,,
"2016-12-26 14:50","제주","영해","기관손상","정비불량","황천5급","1","7","0","0","0","추자도 남서방 6해리","33|50|00","126|16|00","어선","29",,,,
