발생일시,관할해경서,발생해역,발생유형,발생원인,기상특보,사고선박수,구조인원,부상인원,사망인원,실종인원,사고위치,위도,경도,선종1,톤수1,선종2,톤수2,선종3,톤수3
2018-12-25 19:46,포항,영해-EEZ,키손상,정비불량,황천5급,1,6,0,0,0,구룡포 동방 64해리,35|50|00,130|51|00,어선,9.77,,,,
2018-12-25 16:30,인천,영해-EEZ,안전저해,운항부주의,양호,1,11,0,0,0,인천 덕적도 서방 31해리 해상,37|13|06,125|26|44,어선,69,,,,
2018-12-25 16:02,통영,영해,안전저해,운항부주의,양호,1,2,0,0,0,거제시 어구∼아지랑 사이 해상,34|48|12,128|30|49,모터보트,0.34,,,,
2018-12-25 15:45,완도,영해,추진기손상,정비불량,양호,1,1,0,0,0,완도군 신항 남방파제 남방 0.8해리,34|18|20,126|46|05,어선,2.94,,,,
2018-12-25 15:44,목포,영해,안전저해,운항부주의,양호,1,10,0,0,0,진도군 병풍도 남서방 15.5해리,33|54|00,125|30|00,어선,75,,,,
2018-12-25 11:44,목포,항계내,침수,관리소홀,양호,1,0,0,0,0,목포시 북항 5부두,000|00|00,000|00|00,어선,9.77,,,,
2018-12-25 08:48,보령,영해,좌초,운항부주의,양호,1,3,0,0,0,충남 보령시 장고도 서방 1.5해리,36|23|48,126|18|17,예부선,53,,,,
2018-12-25 07:41,여수,항계내,기관손상,정비불량,양호,1,12,0,0,0,여수시 화정면 월호도 서방 약 0.2해리,34|34|57,127|42|03,어선,4.61,,,,
2018-12-25 05:22,목포,영해,안전저해,운항부주의,양호,1,22,0,0,0,신안군 흑산면 매물도 북서 2.5해리,34|33|1,125|39|1,낚시어선,9.77,,,,
2018-12-24 17:36,동해,영해-EEZ,키손상,정비불량,양호,1,6,0,0,0,경북 울릉도 북서 49해리 해상,38|17|00,130|25|00,어선,39,,,,
2018-12-24 17:09,태안,영해,운항저해,관리소홀,양호,2,7,0,0,0,충남 태안군 근흥면 석도 북동방 0.3해리 해상,36|39|09,125|41|40,어선,7.93,어선,5.2,,
2018-12-24 15:42,여수,항계내,침수,관리소홀,양호,1,1,0,0,0,고흥군 풍양면 풍남항 건너편 파제제 내측,34|31|00,127|14|17,모터보트,2.78,,,,
2018-12-24 14:43,서귀포,영해,좌초,운항부주의,양호,1,199,0,0,0,가파도 남동방 0.3해리,33|09|74,126|16|95,여객선,199,,,,
2018-12-24 13:30,서귀포,영해,추진기손상,정비불량,양호,1,1,0,0,0,표선 남동방 1해리,33|19|01,126|51|07,모터보트,1.83,,,,
2018-12-24 13:27,목포,영해,안전저해,운항부주의,양호,1,1,0,0,0,신안군 압해 구례도 북방 0.1해리,34|48|37,126|20|56,어선,2.38,,,,
2018-12-24 10:57,부산,항계내,해양오염,관리소홀,양호,1,0,0,0,0,"부산, 감천항 모든부두~강남조선소 사이 해상",35|03|55,129|00|03,유조선,140,,,,
2018-12-24 07:18,평택,영해,기관손상,정비불량,양호,1,20,0,0,0,평택당진항 아산만 21번 등부표 인근 해상,37|04|18,126|38|42,화물선,26435,,,,
2018-12-24 05:55,서귀포,영해-EEZ,인명사상,기타,양호,1,0,0,1,0,우도 남동방 26해리,33|24|00,127|26|00,어선,29,,,,
2018-12-24 05:18,여수,영해,화재,정비불량,양호,1,2,0,0,0,여수시 남면 금오도 남동방 5.2해리 해상,34|28|02,127|52|05,어선,6.01,,,,
2018-12-24 04:58,통영,영해,조난,정비불량,양호,1,2,0,0,0,거제시 일운면 옥림리 지심도 남동방 3해리,34|46|36,128|47|70,예부선,61,,,,
2018-12-23 14:10,본청,항계내,기관손상,정비불량,양호,1,2,0,0,0,후포북동 2해리,36|40|55,129|27|45,고무보트,0,,,,
2018-12-23 12:36,본청,영해,기관손상,정비불량,양호,1,2,0,0,0,경북 영덕군 병곡항 동방 1해리,36|36|00,129|24|00,모터보트,1.47,,,,
2018-12-23 12:15,부산,영해,기관손상,정비불량,양호,1,5,0,0,0,부산 몰운대 13해리,34|48|00,128|57|00,어선,47,,,,
2018-12-23 10:37,부산,영해,침수,운항부주의,양호,1,4,0,0,0,"부산, 남외항 N-5묘지",35|00|20,129|04|20,예부선,112,,,,
2018-12-23 09:40,포항,영해,충돌,운항부주의,양호,2,24,0,0,0,포항시 남구 강사리 동방 5해리,36|03|01,129|41|04,화물선,33138,어선,24,,
2018-12-23 09:15,보령,영해,운항저해,관리소홀,양호,1,4,0,0,0,충남 보령시 녹도 동방 3.5해리,36|16|08,126|20|13,모터보트,1,,,,
2018-12-23 09:05,동해,영해,기관손상,정비불량,양호,1,7,0,0,0,강원도 삼척시 원덕읍 장호리 장호항 동방 7.7해리 해상,37|18|35,129|28|46,어선,2.99,,,,
2018-12-23 06:40,제주,영해,기관손상,정비불량,양호,1,22,0,0,0,우도 북동방 13해리,33|42|00,127|08|00,낚시어선,9.77,,,,
