"발생일시","관할해경서","발생해역","발생유형","발생원인","기상특보","사고선박수","구조인원","부상인원","사망인원","실종인원","사고위치","위도","경도","선종1","톤수1","선종2","톤수2","선종3","톤수3"
"2017-12-31 19:18","제주","영해","전복","기상악화","황천5급","1","5","0","2","1","추자남방 8.5해리","33|47|00","126|16|00","어선","40",,,,
"2017-12-31 16:50","포항","영해","침수","기상악화","풍랑주의보","1","7","0","0","0","경북 포항시 구룡포 동방 11해리","36|01|00","129|49|00","어선","9.77",,,,
"2017-12-31 16:15","통영","영해","운항저해","정비불량","양호","1","3","0","0","0","고성군 맥전포항 남서방 1.2해리 해상","34|53|33","128|08|89","모터보트","1",,,,
"2017-12-31 10:35","포항","영해","기관손상","정비불량","양호","1","4","0","0","0","경북 포항시 호미곶 북동 18해리","36|16|00","129|50|00","어선","9.77",,,,
"2017-12-31 09:06","통영","영해","안전저해","운항부주의","양호","1","8","0","0","0","통영시 소매물도 남방 100m","34|37|12","128|32|58","낚시어선","9.77",,,,
"2017-12-31 06:00","제주","항계내","침수","관리소홀","양호","1","0","0","0","0","제주시 두항 내","33|30|25","126|28|00","어선","3.3",,,,
"2017-12-30 23:25","포항","영해","좌초","운항부주의","양호","1","4","0","0","0","경북 포항시 구룡포 북방파제 북동 0.6해리","35|59|00","129|34|00","어선","7.93",,,,
"2017-12-30 22:39","부산","항계내","운항저해","기타","양호","2","0","0","0","0","롯데백화점 앞 부산대교 인근 해상","35|05|40","129|02|10","기타","27","기타","28",,
"2017-12-30 18:30","울산","영해-EEZ","안전저해","운항부주의","양호","1","12","0","0","0","간절곶 동방 29마일 해상(35-21N, 129-57E, 93-3해구)","35|21|00","129|57|00","어선","29",,,,
"2017-12-30 13:04","제주","영해","안전저해","운항부주의","양호","1","4","0","0","0","제주항 북서방 6.7해리","33|36|27","126|26|47","어선","9.16",,,,
"2017-12-30 11:51","평택","영해","기타","정비불량","양호","1","2","0","0","0","충남 당진시 소재 당진화력 앞 해상","37|03|94","126|30|52","모터보트","0.5",,,,
"2017-12-30 10:51","인천","영해","기관손상","정비불량","양호","1","1","0","0","0","인천 영흥도 석섬 인근 해상","37|14|18","126|29|30","고무보트","0",,,,
"2017-12-30 10:08","동해","영해","좌초","운항부주의","황천5급","1","3","0","0","0","경북 울릉도 도동항 등대 동방 10m해상","37|27|30","130|52|30","어선","15",,,,
"2017-12-30 09:14","부산","영해","기관손상","정비불량","양호","1","2","0","0","0","북형제도 동방 0.03해리","34|55|00","128|58|00","모터보트","0.29",,,,
"2017-12-30 08:53","태안","영해","기관손상","정비불량","양호","1","2","0","0","0","거아도 북서방 0.5해리","36|36|48","126|13|48","어선","3.18",,,,
"2017-12-30 07:00","서귀포","영해-EEZ","인명사상","기타","양호","1","1","0","0","0","서귀포남동방 26해리","33|07|00","127|03|00","어선","15",,,,
"2017-12-30 06:30","서귀포","영해","안전저해","운항부주의","양호","1","3","0","0","0","서귀 남동방 9해리","33|08|00","126|42|00","어선","4.99",,,,
"2017-12-30 06:27","제주","영해","안전저해","운항부주의","양호","1","3","0","0","0","제주항 북서방 8.5해리","33|38|17","126|25|38","어선","3.99",,,,
"2017-12-30 00:25","속초","항계내","화재","기타","양호","1","0","0","0","0","강릉시 주문진읍 항내","0|0|0","0|0|0","어선","6.67",,,,
"2017-12-29 15:35","통영","영해","기관손상","정비불량","양호","1","2","0","0","0","통영해양경찰서-2017-12-0769","34|57|51","127|56|49","모터보트","1",,,,
"2017-12-29 15:00","서귀포","영해","운항저해","정비불량","양호","1","1","0","0","0","남원항 남방 1.2해리","33|15|00","126|43|00","어선","3",,,,
