"발생일시","관할해경서","발생해역","발생유형","발생원인","기상특보","사고선박수","구조인원","부상인원","사망인원","실종인원","사고위치","위도","경도","선종1","톤수1","선종2","톤수2","선종3","톤수3"
"2012-12-31 09:00","완도","영해","침수","관리소홀","양호","1","0","0","0","0","완도군 완도항 1부두 최경주 공원 앞 해상 안벽","34|19|00","126|45|12","어선","7.93",,,,
"2012-12-31 08:45","여수","영해","기관고장","기타","양호","1","2","0","0","0","우암등대 동방 2마일 해상","34|42|04","127|50|14","어선","2.97",,,,
"2012-12-31 08:05","부산","영해-EEZ","기타","관리소홀","양호","1","7","0","0","0","부산 남여도 동방 11해리","34|41|00","129|00|00","어선","69",,,,
"2012-12-29 11:47","평택","항계내","침수","기타","양호","1","0","0","0","0","평택항 서부두 제2 물량장 앞 0.1해리 해상","36|57|18","126|49|48","낚시어선","9.77",,,,
"2012-12-29 08:57","평택","영해","기관고장","정비불량","양호","1","22","0","0","0","57 인천시 옹진군 덕적면 백아리 지도 서방 0.1해리","37|04|30","126|00|50","낚시어선","9.97",,,,
"2012-12-29 06:00","여수","영해","기관고장","관리소홀","양호","1","4","0","0","0","여수시 남면 여천앞 해상","34|33|27","127|44|57","어선","2.49",,,,
"2012-12-29 04:00","목포","협수로","좌주","운항부주의","양호","1","6","0","0","0","전남 목포시 외달도 서방 0.2해리 해상","34|46|87","126|17|30","어선","9.77",,,,
"2012-12-28 02:00","통영","항계내","화재","화기취급부주의","양호","1","2","0","0","0","통영시 정량동 소재 굴수협 앞 서방파제 계류중인 선박 선실내","34|50|55","128|26|40","어선","93",,,,
"2012-12-27 23:39","제주","영해","충돌","운항부주의","황천5급","1","9","0","0","0","제주 우도 북방 11해리","33|41|00","126|57|0","어선","29",,,,
"2012-12-27 22:00","제주","영해","기관고장","정비불량","황천5급","1","2","0","0","0","종달리 방파제 동방 0.6해리","33|29|65","126|55|60","어선","6.67",,,,
"2012-12-27 15:07","부산","영해","화재","화기취급부주의","양호","1","20","0","0","0","부산 영도구 생도 남서방 1해리","35|01|31","129|04|52","화물선","43022",,,,
"2012-12-27 05:55","울산","영해","충돌","운항부주의","황천5급","2","23","0","0","0","간절곶 남동방 8.6해리","35|18|00","129|31|00","화물선","4587","어선","29",,
"2012-12-26 14:00","부산","영해","기관고장","기타","양호","1","33","0","0","0","오륙도 인근해상","35|06|50","129|07|58","여객선","32",,,,
"2012-12-26 13:15","포항","영해-EEZ","충돌","운항부주의","양호","2","11","0","0","0","후포 동방 20마일","36|38|00","129|52|00","어선","69","어선","7.93",,
