"발생일시","관할해경서","발생해역","발생유형","발생원인","기상특보","사고선박수","구조인원","부상인원","사망인원","실종인원","사고위치","위도","경도","선종1","톤수1","선종2","톤수2","선종3","톤수3"
"2015-12-31 23:30","서귀포","영해-EEZ","기관손상","정비불량","양호","1","13","0","0","0","서귀포서 마라도 남서방 27해리 해상","32|40|00","126|12|00","어선","39",,,,
"2015-12-31 12:47","동해","영해","추진기손상","운항부주의","양호","1","4","0","0","0","독도 북동 1.3해리","37|15|29","131|52|36","어선","7.93",,,,
"2015-12-31 08:30","동해","영해","추진기손상","운항부주의","양호","1","6","0","0","0","삼척시 장호 동방 20해리","37|18|44","129|44|11","어선","7.93",,,,
"2015-12-31 06:00","목포","영해","기관손상","정비불량","양호","1","9","0","0","0","전남 신안군 흑산면 가거도 남동방 17해리","33|52|00","125|25|00","어선","9.77",,,,
"2015-12-31 03:06","통영","영해","기관손상","정비불량","양호","1","8","0","0","0","국도 남동방 3.4해리 해점","34|31|00","128|30|00","어선","7.93",,,,
"2015-12-30 15:33","여수","항계내","해양오염","기타","양호","1","0","0","0","0","여수엑스포 여객터미널 방파제 외측","00|00|00","00|00|00","기타","0",,,,
"2015-12-30 14:55","부산","영해","기관손상","정비불량","양호","1","3","0","0","0","을숙대대교 해상","35|05|05","128|53|28","모터보트","2",,,,
"2015-12-30 10:52","울산","영해","화재","기타","양호","1","7","0","0","0","고리 남동방 4마일 해상","35|17|00","129|22|00","낚시어선","4.4",,,,
"2015-12-30 10:10","울산","영해","충돌","운항부주의","양호","2","18","0","0","0","울기등대 남동방 1.5해리 해상","35|28|00","129|27|00","낚시어선","1.97","어선","29",,
"2015-12-30 06:07","평택","영해","기관손상","정비불량","양호","1","3","0","0","0","충청남도 서산시 대산읍 흑어도 ~ 철도 인근 해상(Fix 37-02.34N 126-23.41E)","37|02|34","126|23|41","어선","4.9",,,,
"2015-12-30 05:00","서귀포","영해-EEZ","기관손상","정비불량","양호","1","12","0","0","0","서귀포 남방 46해리 해상","32|30|00","126|20|00","어선","29",,,,
"2015-12-30 03:35","포항","영해","충돌","운항부주의","양호","2","16","0","0","0","경북 영덕 구계항 동방 약11해리 해상","36|24|08","129|40|13","어선","9.77","화물선","5499",,
"2015-12-30 01:36","통영","영해","시설물손상","정비불량","양호","1","7","0","0","0","경남 통영시 욕지면 욕지도 남서방 11해리","34|25|00","128|10|70","어선","40",,,,
"2015-12-29 21:30","부산","항계내","화재","화기취급부주의","양호","1","0","0","0","0","부산시 남구 우암동 부산항 7부두","35|07|24","129|03|58","화물선","3199",,,,
"2015-12-29 14:00","서귀포","EEZ 30마일 이내","인명사상","기타","양호","1","1","1","0","0","서귀포시 화순 남동방 1해리 해상","32|30|00","127|16|00","어선","271",,,,
"2015-12-29 12:55","포항","영해-EEZ","기관손상","정비불량","황천4급","1","9","0","0","0","경북 구룡포 동방 110해리 해상","35|45|00","131|52|00","어선","29",,,,
"2015-12-29 11:20","여수","영해","기관손상","기타","양호","1","1","0","0","0","여수시 화양면 공진각 남방 0.3마일 해상","34|37|44","127|47|30","어선","1.47",,,,
"2015-12-29 11:02","제주","영해","접촉","운항부주의","양호","2","3","0","0","0","추자도 절명서 동방 0.2해리","33|52|00","126|19|00","어선","6.41","어선","4.99",,
