"발생일시","관할해경서","발생해역","발생유형","발생원인","기상특보","사고선박수","구조인원","부상인원","사망인원","실종인원","사고위치","위도","경도","선종1","톤수1","선종2","톤수2","선종3","톤수3"
"2014-12-31 23:20","울산","항계내","접촉","운항부주의","풍랑주의보","1","20","0","0","0","울주군 온산읍 온산항 5부두","35|26|64","129|29|90","화물선","16316",,,,
"2014-12-31 20:00","평택","항계내","기타","관리소홀","양호","1","0","0","0","0","경기 화성시 궁평항 외측해상","37|06|56","126|40|51","낚시어선","9.77",,,,
"2014-12-31 14:04","창원","항계내","키손상","관리소홀","양호","1","1","0","0","0","부산 강서구 가덕도 대항동 외양포 솔섬 부근","35|00|15","128|49|02","낚시어선","2.28",,,,
"2014-12-31 13:58","완도","영해","기관손상","정비불량","황천5급","1","1","0","0","0","전남 완도군 약산면 어두리 소대도 남동방","34|24|33","126|57|16","어선","1",,,,
"2014-12-30 20:30","군산","영해","안전저해","운항부주의","양호","1","3","0","0","0","전북 군산시 관리도 서방 0.5마일","35|49|00","126|21|00","어선","7.93",,,,
"2014-12-30 18:33","속초","영해","안전저해","운항부주의","양호","1","5","0","0","0","속초 대포항 동방 0.5마일 해상","38|10|23","128|37|18","기타","217",,,,
"2014-12-30 17:50","포항","영해-EEZ","추진기손상","정비불량","양호","1","4","0","0","0","경북 울진군 후포면 후포항 동방 17마일 해상","36|49|18","129|46|30","어선","7.93",,,,
"2014-12-30 16:53","제주","항계내","침수","관리소홀","양호","1","0","0","0","0","제주시 화북동 해신사 부근 안벽","33|31|30","126|33|40","모터보트","2.1",,,,
"2014-12-30 10:39","통영","영해","전복","운항부주의","양호","1","1","0","0","0","경남 통영시 한산면 매죽리 대덕도 서방 10m","34|41|99","128|32|52","어선","1.31",,,,
"2014-12-30 04:40","동해","영해","화재","기타","황천5급","1","4","0","2","4","독도 북동 7.9마일","37|19|62","132|00|26","어선","29",,,,
"2014-12-30 04:00","울산","영해-EEZ","추진기손상","운항부주의","양호","1","3","0","0","0","부산광역시 기장군 기장읍 대변리 대변항 동방 16해리 해상","35|09|00","129|33|00","어선","9.77",,,,
